"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"255648_at"	-0.900268902000006	6.07330426972609	-5.92368592704344	0.000205630887664432	0.0295290308979002	1.09672261500756	"AT4G00910"
"266330_at"	0.736374288805733	11.660491256912	5.91361822165649	0.00020824952006643	0.0296885722044705	1.08437777186883	"AT2G01530"
"246827_at"	0.774716345553505	6.39556410013093	5.87275670212312	0.00021925495763437	0.0310633887182608	1.03411358988228	"AT5G26330"
"259279_at"	0.522195298450854	11.5204528607692	5.85859764729772	0.000223214280379417	0.0314291218237932	1.01663620322148	"AT3G01120"
"245306_at"	0.7210719430993	9.86246044926305	5.84575540997789	0.000226872456285442	0.0317482253243615	1.00075741022228	"AT4G14690"
"264940_at"	-2.51555123363825	5.67521201638318	-5.83719571726772	0.000229346787798884	0.0318987818883692	0.99015958306763	"AT1G60470"
"250658_at"	0.556966316452356	5.28299571554805	5.81093646178424	0.00023712173483446	0.0324122881542754	0.957576878593654	"AT5G07040"
"256010_at"	-0.4699263488675	7.24775541431566	-5.81033969167369	0.000237301715114599	0.0324122881542754	0.956835157384808	"AT1G19220"
"265029_at"	0.551206631669894	6.94053574233828	5.81645934914867	0.000235463084428262	0.0324122881542754	0.964438610559765	"AT1G24625"
"245258_at"	-0.912294363800727	8.41463641645124	-5.77979142851618	0.0002467154586235	0.0332992876402487	0.918793004404352	"AT4G15340"
"252921_at"	-0.735529629452785	9.34194035216056	-5.78286617140147	0.000245749881684213	0.0332992876402487	0.922628591208832	"AT4G39030"
"252478_at"	0.550292817130062	6.48482877231229	5.76947413247009	0.000249985599217362	0.0335421854008707	0.905911942689345	"AT3G46540"
"245550_at"	-0.431516452573047	7.67318572508444	-5.74704229857156	0.000257258690161901	0.0343162030560992	0.877848749929965	"AT4G15330"
"262525_at"	0.571689667702767	7.72441554395562	5.72691057400804	0.000263981376960998	0.0348058682571119	0.852596264617347	"AT1G17060"
